FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
s,1,15102177709.862278,198272,25192448,991360,1024,128,2,5
m,1,30204355419.724556,198272,25192448,991360,1024,128,2,5
l,1,75510888549.31139,198272,25192448,991360,1024,128,2,5
xl,1,151021777098.62277,198272,25192448,991360,1024,128,2,5
s,1,10667633410.27684,198272,39354880,991360,1280,128,2,5
m,1,21335266820.55368,198272,39354880,991360,1280,128,2,5
l,1,53338167051.3842,198272,39354880,991360,1280,128,2,5
xl,1,106676334102.7684,198272,39354880,991360,1280,128,2,5
s,1,7937390876.750226,198272,56663040,991360,1536,128,2,5
m,1,15874781753.500452,198272,56663040,991360,1536,128,2,5
l,1,39686954383.75113,198272,56663040,991360,1536,128,2,5
xl,1,79373908767.50226,198272,56663040,991360,1536,128,2,5
s,1,6136887347.171867,198272,77116928,991360,1792,128,2,5
m,1,12273774694.343735,198272,77116928,991360,1792,128,2,5
l,1,30684436735.859337,198272,77116928,991360,1792,128,2,5
xl,1,61368873471.71867,198272,77116928,991360,1792,128,2,5
s,1,4886851788.4313755,198272,100716544,991360,2048,128,2,5
m,1,9773703576.862751,198272,100716544,991360,2048,128,2,5
l,1,24434258942.156876,198272,100716544,991360,2048,128,2,5
xl,1,48868517884.31375,198272,100716544,991360,2048,128,2,5
s,1,4689615016.372384,789760,100716544,3948800,2048,256,2,5
m,1,9379230032.744768,789760,100716544,3948800,2048,256,2,5
l,1,23448075081.86192,789760,100716544,3948800,2048,256,2,5
xl,1,46896150163.72384,789760,100716544,3948800,2048,256,2,5
s,1,11973372751.59217,198272,28351488,991360,768,128,4,5
m,1,23946745503.18434,198272,28351488,991360,768,128,4,5
l,1,59866863757.96085,198272,28351488,991360,768,128,4,5
xl,1,119733727515.9217,198272,28351488,991360,768,128,4,5
s,1,7743939035.747014,198272,50384896,991360,1024,128,4,5
m,1,15487878071.494028,198272,50384896,991360,1024,128,4,5
l,1,38719695178.73507,198272,50384896,991360,1024,128,4,5
xl,1,77439390357.47014,198272,50384896,991360,1024,128,4,5
s,1,5429323070.262217,198272,78709760,991360,1280,128,4,5
m,1,10858646140.524433,198272,78709760,991360,1280,128,4,5
l,1,27146615351.31108,198272,78709760,991360,1280,128,4,5
xl,1,54293230702.62216,198272,78709760,991360,1280,128,4,5
s,1,4021329388.441374,198272,113326080,991360,1536,128,4,5
m,1,8042658776.882748,198272,113326080,991360,1536,128,4,5
l,1,20106646942.20687,198272,113326080,991360,1536,128,4,5
xl,1,40213293884.41374,198272,113326080,991360,1536,128,4,5
l,1,15499063906.137074,198272,154233856,991360,1792,128,4,5
xl,1,30998127812.274147,198272,154233856,991360,1792,128,4,5
xl,1,24632759062.924126,198272,201433088,991360,2048,128,4,5
m,1,7773620238.377753,789760,113326080,3948800,1536,256,4,5
l,1,19434050595.944386,789760,113326080,3948800,1536,256,4,5
xl,1,38868101191.88877,789760,113326080,3948800,1536,256,4,5
l,1,15096320806.816948,789760,154233856,3948800,1792,256,4,5
xl,1,30192641613.633896,789760,154233856,3948800,1792,256,4,5
xl,1,24121387156.523026,789760,201433088,3948800,2048,256,4,5
xl,1,23338057703.030273,1774464,201433088,8872320,2048,384,4,5
s,1,8088717572.007705,198272,42527232,991360,768,128,6,5
m,1,16177435144.01541,198272,42527232,991360,768,128,6,5
l,1,40443587860.03853,198272,42527232,991360,768,128,6,5
xl,1,80887175720.07706,198272,42527232,991360,768,128,6,5
s,1,5206953490.658309,198272,75577344,991360,1024,128,6,5
m,1,10413906981.316618,198272,75577344,991360,1024,128,6,5
l,1,26034767453.291546,198272,75577344,991360,1024,128,6,5
xl,1,52069534906.58309,198272,75577344,991360,1024,128,6,5
m,1,7282564189.685978,198272,118064640,991360,1280,128,6,5
l,1,18206410474.214947,198272,118064640,991360,1280,128,6,5
xl,1,36412820948.42989,198272,118064640,991360,1280,128,6,5
l,1,13463952196.033075,198272,169989120,991360,1536,128,6,5
xl,1,26927904392.06615,198272,169989120,991360,1536,128,6,5
xl,1,20736081112.91377,198272,231350784,991360,1792,128,6,5
xl,1,16466429613.311325,198272,302149632,991360,2048,128,6,5
m,1,7061275603.055532,789760,118064640,3948800,1280,256,6,5
l,1,17653189007.638832,789760,118064640,3948800,1280,256,6,5
xl,1,35306378015.277664,789760,118064640,3948800,1280,256,6,5
l,1,13158989564.773895,789760,169989120,3948800,1536,256,6,5
xl,1,26317979129.54779,789760,169989120,3948800,1536,256,6,5
xl,1,20372507220.01656,789760,231350784,3948800,1792,256,6,5
xl,1,16236333683.102928,789760,302149632,3948800,2048,256,6,5
xl,1,19810908209.374104,1774464,231350784,8872320,1792,384,6,5
xl,1,15877617660.260035,1774464,302149632,8872320,2048,384,6,5
s,1,10942773322.464096,198272,25219072,991360,512,128,8,5
m,1,21885546644.928192,198272,25219072,991360,512,128,8,5
l,1,54713866612.32048,198272,25219072,991360,512,128,8,5
xl,1,109427733224.64096,198272,25219072,991360,512,128,8,5
s,1,6107268255.064538,198272,56702976,991360,768,128,8,5
m,1,12214536510.129076,198272,56702976,991360,768,128,8,5
l,1,30536341275.32269,198272,56702976,991360,768,128,8,5
xl,1,61072682550.64538,198272,56702976,991360,768,128,8,5
m,1,7844105863.550712,198272,100769792,991360,1024,128,8,5
l,1,19610264658.876778,198272,100769792,991360,1024,128,8,5
xl,1,39220529317.753555,198272,100769792,991360,1024,128,8,5
l,1,13695926073.379309,198272,157419520,991360,1280,128,8,5
xl,1,27391852146.758617,198272,157419520,991360,1280,128,8,5
xl,1,20240866964.58632,198272,226652160,991360,1536,128,8,5
xl,1,15578695443.533186,198272,308467712,991360,1792,128,8,5
m,1,7587975596.099222,789760,100769792,3948800,1024,256,8,5
l,1,18969938990.248055,789760,100769792,3948800,1024,256,8,5
xl,1,37939877980.49611,789760,100769792,3948800,1024,256,8,5
l,1,13380487455.653852,789760,157419520,3948800,1280,256,8,5
xl,1,26760974911.307705,789760,157419520,3948800,1280,256,8,5
xl,1,19894306166.814743,789760,226652160,3948800,1536,256,8,5
xl,1,15372585225.120565,789760,308467712,3948800,1792,256,8,5
xl,1,19358415645.316658,1774464,226652160,8872320,1536,384,8,5
xl,1,15050641918.306175,1774464,308467712,8872320,1792,384,8,5
s,1,8817864400.71536,198272,31523840,991360,512,128,10,5
m,1,17635728801.43072,198272,31523840,991360,512,128,10,5
l,1,44089322003.576805,198272,31523840,991360,512,128,10,5
xl,1,88178644007.15361,198272,31523840,991360,512,128,10,5
s,1,4905575905.192564,198272,70878720,991360,768,128,10,5
m,1,9811151810.385128,198272,70878720,991360,768,128,10,5
l,1,24527879525.96282,198272,70878720,991360,768,128,10,5
xl,1,49055759051.92564,198272,70878720,991360,768,128,10,5
l,1,15728901980.704136,198272,125962240,991360,1024,128,10,5
xl,1,31457803961.40827,198272,125962240,991360,1024,128,10,5
xl,1,21953145734.746147,198272,196774400,991360,1280,128,10,5
xl,1,16214341032.058113,198272,283315200,991360,1536,128,10,5
l,1,15314285400.649149,789760,125962240,3948800,1024,256,10,5
xl,1,30628570801.298298,789760,125962240,3948800,1024,256,10,5
xl,1,21546059753.1187,789760,196774400,3948800,1280,256,10,5
xl,1,15991188624.794622,789760,283315200,3948800,1536,256,10,5
xl,1,20918891599.97724,1774464,196774400,8872320,1280,384,10,5
xl,1,15643106896.23239,1774464,283315200,8872320,1536,384,10,5
s,1,7384009614.098661,198272,37828608,991360,512,128,12,5
m,1,14768019228.197323,198272,37828608,991360,512,128,12,5
l,1,36920048070.49331,198272,37828608,991360,512,128,12,5
xl,1,73840096140.98662,198272,37828608,991360,512,128,12,5
s,1,4099032628.2997212,198272,85054464,991360,768,128,12,5
m,1,8198065256.5994425,198272,85054464,991360,768,128,12,5
l,1,20495163141.498608,198272,85054464,991360,768,128,12,5
xl,1,40990326282.997215,198272,85054464,991360,768,128,12,5
l,1,13130121902.992895,198272,151154688,991360,1024,128,12,5
xl,1,26260243805.98579,198272,151154688,991360,1024,128,12,5
xl,1,18316390232.77465,198272,236129280,991360,1280,128,12,5
xl,1,13524004046.901333,198272,339978240,991360,1536,128,12,5
m,1,7918709693.767659,789760,85054464,3948800,768,256,12,5
l,1,19796774234.419147,789760,85054464,3948800,768,256,12,5
xl,1,39593548468.838295,789760,85054464,3948800,768,256,12,5
xl,1,25679863075.791836,789760,151154688,3948800,1024,256,12,5
xl,1,18032134937.841354,789760,236129280,3948800,1280,256,12,5
xl,1,13368405183.912466,789760,339978240,3948800,1536,256,12,5
xl,1,17590758462.843533,1774464,236129280,8872320,1280,384,12,5
xl,1,13124268978.217913,1774464,339978240,8872320,1536,384,12,5
s,1,6351246490.555239,198272,44133376,991360,512,128,14,5
m,1,12702492981.110477,198272,44133376,991360,512,128,14,5
l,1,31756232452.776196,198272,44133376,991360,512,128,14,5
xl,1,63512464905.55239,198272,44133376,991360,512,128,14,5
m,1,7040509854.573482,198272,99230208,991360,768,128,14,5
l,1,17601274636.433704,198272,99230208,991360,768,128,14,5
xl,1,35202549272.86741,198272,99230208,991360,768,128,14,5
xl,1,22536663365.13563,198272,176347136,991360,1024,128,14,5
xl,1,15713323017.348213,198272,275484160,991360,1280,128,14,5
m,1,6833477875.057346,789760,99230208,3948800,768,256,14,5
l,1,17083694687.643366,789760,99230208,3948800,768,256,14,5
xl,1,34167389375.28673,789760,99230208,3948800,768,256,14,5
xl,1,22107860324.16561,789760,176347136,3948800,1024,256,14,5
xl,1,15503659061.985464,789760,275484160,3948800,1280,256,14,5
xl,1,15176260734.472742,1774464,275484160,8872320,1280,384,14,5
s,1,5571929599.338144,198272,50438144,991360,512,128,16,5
m,1,11143859198.676289,198272,50438144,991360,512,128,16,5
l,1,27859647996.69072,198272,50438144,991360,512,128,16,5
xl,1,55719295993.38144,198272,50438144,991360,512,128,16,5
l,1,15423498165.862276,198272,113405952,991360,768,128,16,5
xl,1,30846996331.724552,198272,113405952,991360,768,128,16,5
xl,1,19737918341.23166,198272,201539584,991360,1024,128,16,5
xl,1,13758069823.371038,198272,314839040,991360,1280,128,16,5
l,1,15024622110.32044,789760,113405952,3948800,768,256,16,5
xl,1,30049244220.64088,789760,113405952,3948800,768,256,16,5
xl,1,19408226106.76574,789760,201539584,3948800,1024,256,16,5
xl,1,13597070377.39202,789760,314839040,3948800,1280,256,16,5
xl,1,18897866736.235004,1774464,201539584,8872320,1024,384,16,5
xl,1,13344589761.689114,1774464,314839040,8872320,1280,384,16,5
s,1,4962959645.50016,198272,56742912,991360,512,128,18,5
m,1,9925919291.00032,198272,56742912,991360,512,128,18,5
l,1,24814798227.5008,198272,56742912,991360,512,128,18,5
xl,1,49629596455.0016,198272,56742912,991360,512,128,18,5
l,1,13725290743.382828,198272,127581696,991360,768,128,18,5
xl,1,27450581486.765656,198272,127581696,991360,768,128,18,5
xl,1,17557515330.098705,198272,226732032,991360,1024,128,18,5
l,1,13408513689.64195,789760,127581696,3948800,768,256,18,5
xl,1,26817027379.2839,789760,127581696,3948800,768,256,18,5
xl,1,17296158271.415855,789760,226732032,3948800,1024,256,18,5
xl,1,16889669759.124664,1774464,226732032,8872320,1024,384,18,5
s,1,4473986595.506658,198272,63047680,991360,512,128,20,5
m,1,8947973191.013315,198272,63047680,991360,512,128,20,5
l,1,22369932977.533287,198272,63047680,991360,512,128,20,5
xl,1,44739865955.066574,198272,63047680,991360,512,128,20,5
xl,1,24727909905.264805,198272,141757440,991360,768,128,20,5
xl,1,15810919015.612688,198272,251924480,991360,1024,128,20,5
xl,1,24212621059.231277,789760,141757440,3948800,768,256,20,5
xl,1,15598660102.550833,789760,251924480,3948800,1024,256,20,5
xl,1,15267279996.052492,1774464,251924480,8872320,1024,384,20,5
s,1,4072723595.131916,198272,69352448,991360,512,128,22,5
m,1,8145447190.263832,198272,69352448,991360,512,128,22,5
l,1,20363617975.65958,198272,69352448,991360,512,128,22,5
xl,1,40727235951.31916,198272,69352448,991360,512,128,22,5
xl,1,22496596714.848976,198272,155933184,991360,768,128,22,5
xl,1,14380379584.959696,198272,277116928,991360,1024,128,22,5
xl,1,22069302553.541893,789760,155933184,3948800,768,256,22,5
xl,1,14204579029.004978,789760,277116928,3948800,1024,256,22,5
xl,1,13929261460.305439,1774464,277116928,8872320,1024,384,22,5
m,1,7475026832.3563175,198272,75657216,991360,512,128,24,5
l,1,18687567080.890793,198272,75657216,991360,512,128,24,5
xl,1,37375134161.781586,198272,75657216,991360,512,128,24,5
xl,1,20634638274.460896,198272,170108928,991360,768,128,24,5
xl,1,13187226459.998985,198272,302309376,991360,1024,128,24,5
xl,1,20274582071.118954,789760,170108928,3948800,768,256,24,5
xl,1,13039238218.07815,789760,302309376,3948800,1024,256,24,5
s,1,14979689937.195553,198272,25192448,1189632,1024,128,2,6
m,1,29959379874.391106,198272,25192448,1189632,1024,128,2,6
l,1,74898449685.97777,198272,25192448,1189632,1024,128,2,6
xl,1,149796899371.95554,198272,25192448,1189632,1024,128,2,6
s,1,10606372240.561346,198272,39354880,1189632,1280,128,2,6
m,1,21212744481.122692,198272,39354880,1189632,1280,128,2,6
l,1,53031861202.80673,198272,39354880,1189632,1280,128,2,6
xl,1,106063722405.61346,198272,39354880,1189632,1280,128,2,6
s,1,7903424952.364477,198272,56663040,1189632,1536,128,2,6
m,1,15806849904.728954,198272,56663040,1189632,1536,128,2,6
l,1,39517124761.82239,198272,56663040,1189632,1536,128,2,6
xl,1,79034249523.64478,198272,56663040,1189632,1536,128,2,6
s,1,6116563497.366844,198272,77116928,1189632,1792,128,2,6
m,1,12233126994.733688,198272,77116928,1189632,1792,128,2,6
l,1,30582817486.83422,198272,77116928,1189632,1792,128,2,6
