FLOPs,Patch size,Tokens,Encoder parameters,Global model parameters,Decoder parameters,Global model dimension,Encoder/Decoder dimension,Global model layers,Decoder layers
s,1.5,65349965927.85447,1874575.3599999999,19677184.0,1874575.3599999999,640,448,4,1.0
s,1.5,52730161191.94487,2448424.96,23809392.64,2448424.96,704,512,4,1.0
s,1.5,47087993426.751396,2448424.96,28335144.96,2448424.96,768,512,4,1.0
s,1.5,43424594474.98826,3098787.84,28335144.96,3098787.84,768,576,4,1.0
s,1.5,64779169111.343636,1874575.3599999999,19923148.799999997,1874575.3599999999,576,448,5,1.0
s,1.5,51620244730.29481,2448424.96,24596480.0,2448424.96,640,512,5,1.0
s,1.5,45523395679.65051,2448424.96,29761740.8,2448424.96,704,512,5,1.0
s,1.5,42090526387.36259,3098787.84,29761740.8,3098787.84,704,576,5,1.0
s,1.5,37595733870.72752,3098787.84,35418931.2,3098787.84,768,576,5,1.0
m,1.5,93989334676.8188,3098787.84,35418931.2,3098787.84,768,576,5,1.0
l,1.5,187978669353.6376,3098787.84,35418931.2,3098787.84,768,576,5,1.0
xl,1.5,375957338707.2752,3098787.84,35418931.2,3098787.84,768,576,5,1.0
s,1.5,34970813757.51373,3825664.0,35418931.2,3825664.0,768,640,5,1.0
m,1.5,87427034393.78433,3825664.0,35418931.2,3825664.0,768,640,5,1.0
l,1.5,174854068787.56866,3825664.0,35418931.2,3825664.0,768,640,5,1.0
xl,1.5,349708137575.1373,3825664.0,35418931.2,3825664.0,768,640,5,1.0
s,1.5,66989797008.05643,1874575.3599999999,18890096.64,1874575.3599999999,512,448,6,1.0
s,1.5,52528249345.30336,2448424.96,23907778.56,2448424.96,576,512,6,1.0
s,1.5,45754871027.43772,2448424.96,29515776.0,2448424.96,640,512,6,1.0
s,1.5,42288331570.97949,3098787.84,29515776.0,3098787.84,640,576,6,1.0
s,1.5,37368420304.56578,3098787.84,35714088.96,3098787.84,704,576,6,1.0
m,1.5,93421050761.41446,3098787.84,35714088.96,3098787.84,704,576,6,1.0
l,1.5,186842101522.82892,3098787.84,35714088.96,3098787.84,704,576,6,1.0
xl,1.5,373684203045.65784,3098787.84,35714088.96,3098787.84,704,576,6,1.0
s,1.5,34774050921.473305,3825664.0,35714088.96,3825664.0,704,640,6,1.0
m,1.5,86935127303.68326,3825664.0,35714088.96,3825664.0,704,640,6,1.0
l,1.5,173870254607.36652,3825664.0,35714088.96,3825664.0,704,640,6,1.0
