FLOPs,Patch size,Tokens,Encoder parameters,Global model parameters,Decoder parameters,Global model dimension,Encoder/Decoder dimension,Global model layers,Decoder layers
s,1.5,53511817018.83321,344309.76,7083786.24,688619.52,384,192,4,2
m,1.5,107023634037.66643,344309.76,7083786.24,688619.52,384,192,4,2
s,1.5,34136099025.147503,612106.24,12593397.76,1224212.48,512,256,4,2
m,1.5,68272198050.295006,612106.24,12593397.76,1224212.48,512,256,4,2
s,1.5,23758338731.42588,956416.0,19677184.0,1912832.0,640,320,4,2
m,1.5,47516677462.85176,956416.0,19677184.0,1912832.0,640,320,4,2
l,1.5,118791693657.1294,956416.0,19677184.0,1912832.0,640,320,4,2
s,1.5,20999116484.43298,956416.0,23809392.64,1912832.0,704,320,4,2
m,1.5,41998232968.86596,956416.0,23809392.64,1912832.0,704,320,4,2
l,1.5,104995582422.1649,956416.0,23809392.64,1912832.0,704,320,4,2
xl,1.5,209991164844.3298,956416.0,23809392.64,1912832.0,704,320,4,2
s,1.5,19549844246.33224,1377239.04,23809392.64,2754478.08,704,384,4,2
m,1.5,39099688492.66448,1377239.04,23809392.64,2754478.08,704,384,4,2
l,1.5,97749221231.66121,1377239.04,23809392.64,2754478.08,704,384,4,2
xl,1.5,195498442463.32242,1377239.04,23809392.64,2754478.08,704,384,4,2
s,1.5,17520679335.43912,1377239.04,28335144.96,2754478.08,768,384,4,2
m,1.5,35041358670.87824,1377239.04,28335144.96,2754478.08,768,384,4,2
l,1.5,87603396677.1956,1377239.04,28335144.96,2754478.08,768,384,4,2
xl,1.5,175206793354.3912,1377239.04,28335144.96,2754478.08,768,384,4,2
s,1.5,15774596044.980534,1377239.04,33254440.96,2754478.08,832,384,4,2
m,1.5,31549192089.961067,1377239.04,33254440.96,2754478.08,832,384,4,2
l,1.5,78872980224.90266,1377239.04,33254440.96,2754478.08,832,384,4,2
xl,1.5,157745960449.80533,1377239.04,33254440.96,2754478.08,832,384,4,2
s,1.5,14806460540.358307,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
m,1.5,29612921080.716614,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
l,1.5,74032302701.79153,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
xl,1.5,148064605403.58307,1874575.3599999999,33254440.96,3749150.7199999997,832,448,4,2
s,1.5,13468143556.676039,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
m,1.5,26936287113.352077,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
l,1.5,67340717783.380196,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
xl,1.5,134681435566.76039,1874575.3599999999,38567280.64,3749150.7199999997,896,448,4,2
s,1.5,12291955022.820082,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
m,1.5,24583910045.640163,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
l,1.5,61459775114.10041,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
xl,1.5,122919550228.20082,1874575.3599999999,44273664.0,3749150.7199999997,960,448,4,2
s,1.5,11612538931.91932,2448424.96,44273664.0,4896849.92,960,512,4,2
m,1.5,23225077863.83864,2448424.96,44273664.0,4896849.92,960,512,4,2
l,1.5,58062694659.596596,2448424.96,44273664.0,4896849.92,960,512,4,2
xl,1.5,116125389319.19319,2448424.96,44273664.0,4896849.92,960,512,4,2
l,1.5,53411900661.06213,2448424.96,50373591.04,4896849.92,1024,512,4,2
xl,1.5,106823801322.12427,2448424.96,50373591.04,4896849.92,1024,512,4,2
l,1.5,49259179019.997375,2448424.96,56867061.76,4896849.92,1088,512,4,2
