"trainer/global_step","restful-jazz-47 - _step","restful-jazz-47 - _step__MIN","restful-jazz-47 - _step__MAX","restful-jazz-47 - val_entropy_loss","restful-jazz-47 - val_entropy_loss__MIN","restful-jazz-47 - val_entropy_loss__MAX"
"24","2","2","2","2.141183853149414","2.141183853149414","2.141183853149414"
"49","6","6","6","1.4006483554840088","1.4006483554840088","1.4006483554840088"
"74","9","9","9","1.3638505935668945","1.3638505935668945","1.3638505935668945"
"99","13","13","13","1.352356195449829","1.352356195449829","1.352356195449829"
"124","16","16","16","1.3455162048339844","1.3455162048339844","1.3455162048339844"
"149","20","20","20","1.342220425605774","1.342220425605774","1.342220425605774"
"174","23","23","23","1.3404200077056885","1.3404200077056885","1.3404200077056885"
"199","27","27","27","1.3330552577972412","1.3330552577972412","1.3330552577972412"
"224","30","30","30","1.329378604888916","1.329378604888916","1.329378604888916"
"249","34","34","34","1.3291475772857666","1.3291475772857666","1.3291475772857666"
"274","37","37","37","1.323939323425293","1.323939323425293","1.323939323425293"
"299","41","41","41","1.3234648704528809","1.3234648704528809","1.3234648704528809"
"324","44","44","44","1.3212413787841797","1.3212413787841797","1.3212413787841797"
"349","48","48","48","1.3176181316375732","1.3176181316375732","1.3176181316375732"
"374","51","51","51","1.3166676759719849","1.3166676759719849","1.3166676759719849"
"399","55","55","55","1.314589500427246","1.314589500427246","1.314589500427246"
"424","58","58","58","1.3249623775482178","1.3249623775482178","1.3249623775482178"
"449","62","62","62","1.3123642206192017","1.3123642206192017","1.3123642206192017"
"474","65","65","65","1.3116713762283325","1.3116713762283325","1.3116713762283325"
"499","69","69","69","1.3088881969451904","1.3088881969451904","1.3088881969451904"
"524","72","72","72","1.3074755668640137","1.3074755668640137","1.3074755668640137"
"549","76","76","76","1.3066250085830688","1.3066250085830688","1.3066250085830688"
"574","79","79","79","1.3083860874176025","1.3083860874176025","1.3083860874176025"
"599","83","83","83","1.3047106266021729","1.3047106266021729","1.3047106266021729"
"624","86","86","86","1.3045183420181274","1.3045183420181274","1.3045183420181274"
"649","90","90","90","1.3022792339324951","1.3022792339324951","1.3022792339324951"
"674","93","93","93","1.3026889562606812","1.3026889562606812","1.3026889562606812"
"699","97","97","97","1.3009597063064575","1.3009597063064575","1.3009597063064575"
"724","100","100","100","1.3000116348266602","1.3000116348266602","1.3000116348266602"
"749","104","104","104","1.3003612756729126","1.3003612756729126","1.3003612756729126"
"774","107","107","107","1.2988821268081665","1.2988821268081665","1.2988821268081665"
"799","111","111","111","1.2988636493682861","1.2988636493682861","1.2988636493682861"
"824","114","114","114","1.2993040084838867","1.2993040084838867","1.2993040084838867"
"849","118","118","118","1.2969849109649658","1.2969849109649658","1.2969849109649658"
"874","121","121","121","1.2975884675979614","1.2975884675979614","1.2975884675979614"
"899","125","125","125","1.2968753576278687","1.2968753576278687","1.2968753576278687"
"924","128","128","128","1.2961602210998535","1.2961602210998535","1.2961602210998535"
"949","132","132","132","1.295893669128418","1.295893669128418","1.295893669128418"
"974","135","135","135","1.2956029176712036","1.2956029176712036","1.2956029176712036"
"999","139","139","139","1.2946220636367798","1.2946220636367798","1.2946220636367798"
"1024","142","142","142","1.2948964834213257","1.2948964834213257","1.2948964834213257"
"1049","146","146","146","1.2936373949050903","1.2936373949050903","1.2936373949050903"
"1074","149","149","149","1.293258547782898","1.293258547782898","1.293258547782898"
"1099","153","153","153","1.2954849004745483","1.2954849004745483","1.2954849004745483"
"1124","156","156","156","1.2940443754196167","1.2940443754196167","1.2940443754196167"
"1149","160","160","160","1.2921888828277588","1.2921888828277588","1.2921888828277588"
"1174","163","163","163","1.2917646169662476","1.2917646169662476","1.2917646169662476"
"1199","167","167","167","1.2911769151687622","1.2911769151687622","1.2911769151687622"
"1224","170","170","170","1.290722370147705","1.290722370147705","1.290722370147705"
"1249","174","174","174","1.2896374464035034","1.2896374464035034","1.2896374464035034"
"1274","177","177","177","1.290374755859375","1.290374755859375","1.290374755859375"
"1299","181","181","181","1.2899638414382935","1.2899638414382935","1.2899638414382935"
"1324","184","184","184","1.2879037857055664","1.2879037857055664","1.2879037857055664"
"1349","188","188","188","1.2889385223388672","1.2889385223388672","1.2889385223388672"
"1374","191","191","191","1.2891924381256104","1.2891924381256104","1.2891924381256104"
"1399","195","195","195","1.2891960144042969","1.2891960144042969","1.2891960144042969"
"1424","198","198","198","1.288078784942627","1.288078784942627","1.288078784942627"
"1449","202","202","202","1.287906289100647","1.287906289100647","1.287906289100647"
"1474","205","205","205","1.2870713472366333","1.2870713472366333","1.2870713472366333"
"1499","209","209","209","1.286746621131897","1.286746621131897","1.286746621131897"
"1524","212","212","212","1.2870303392410278","1.2870303392410278","1.2870303392410278"
"1549","216","216","216","1.2868691682815552","1.2868691682815552","1.2868691682815552"
"1574","219","219","219","1.2872310876846313","1.2872310876846313","1.2872310876846313"
