"trainer/global_step","copper-sun-58 - _step","copper-sun-58 - _step__MIN","copper-sun-58 - _step__MAX","copper-sun-58 - val_entropy_loss","copper-sun-58 - val_entropy_loss__MIN","copper-sun-58 - val_entropy_loss__MAX"
"49","5","5","5","1.9395172595977783","1.9395172595977783","1.9395172595977783"
"99","11","11","11","1.4082040786743164","1.4082040786743164","1.4082040786743164"
"149","17","17","17","1.3648946285247803","1.3648946285247803","1.3648946285247803"
"199","23","23","23","1.344430923461914","1.344430923461914","1.344430923461914"
"249","29","29","29","1.3349378108978271","1.3349378108978271","1.3349378108978271"
"299","35","35","35","1.3271431922912598","1.3271431922912598","1.3271431922912598"
"349","41","41","41","1.3208975791931152","1.3208975791931152","1.3208975791931152"
"399","47","47","47","1.317704677581787","1.317704677581787","1.317704677581787"
"449","53","53","53","1.3135292530059814","1.3135292530059814","1.3135292530059814"
"499","59","59","59","1.3112342357635498","1.3112342357635498","1.3112342357635498"
"549","65","65","65","1.3093703985214233","1.3093703985214233","1.3093703985214233"
"599","71","71","71","1.3084440231323242","1.3084440231323242","1.3084440231323242"
"649","77","77","77","1.3070595264434814","1.3070595264434814","1.3070595264434814"
"699","83","83","83","1.3043642044067383","1.3043642044067383","1.3043642044067383"
"749","89","89","89","1.3007409572601318","1.3007409572601318","1.3007409572601318"
"799","95","95","95","1.2994122505187988","1.2994122505187988","1.2994122505187988"
"849","101","101","101","1.298915147781372","1.298915147781372","1.298915147781372"
"899","107","107","107","1.2980947494506836","1.2980947494506836","1.2980947494506836"
"949","113","113","113","1.2960846424102783","1.2960846424102783","1.2960846424102783"
"999","119","119","119","1.2954967021942139","1.2954967021942139","1.2954967021942139"
"1049","125","125","125","1.2937438488006592","1.2937438488006592","1.2937438488006592"
"1099","131","131","131","1.2937309741973877","1.2937309741973877","1.2937309741973877"
"1149","137","137","137","1.2920072078704834","1.2920072078704834","1.2920072078704834"
"1199","143","143","143","1.2912554740905762","1.2912554740905762","1.2912554740905762"
"1249","149","149","149","1.2903013229370117","1.2903013229370117","1.2903013229370117"
"1299","155","155","155","1.289452075958252","1.289452075958252","1.289452075958252"
"1349","161","161","161","1.288480281829834","1.288480281829834","1.288480281829834"
"1399","167","167","167","1.2875345945358276","1.2875345945358276","1.2875345945358276"
"1449","173","173","173","1.2869653701782227","1.2869653701782227","1.2869653701782227"
"1499","179","179","179","1.2868239879608154","1.2868239879608154","1.2868239879608154"
"1549","185","185","185","1.2861045598983765","1.2861045598983765","1.2861045598983765"
"1599","191","191","191","1.2855819463729858","1.2855819463729858","1.2855819463729858"
"1649","197","197","197","1.2840707302093506","1.2840707302093506","1.2840707302093506"
"1699","203","203","203","1.2842528820037842","1.2842528820037842","1.2842528820037842"
"1749","209","209","209","1.2840332984924316","1.2840332984924316","1.2840332984924316"
"1799","215","215","215","1.2827728986740112","1.2827728986740112","1.2827728986740112"
"1849","221","221","221","1.2821325063705444","1.2821325063705444","1.2821325063705444"
"1899","227","227","227","1.282278060913086","1.282278060913086","1.282278060913086"
"1949","233","233","233","1.281477451324463","1.281477451324463","1.281477451324463"
"1999","239","239","239","1.2813694477081299","1.2813694477081299","1.2813694477081299"
"2049","245","245","245","1.280256986618042","1.280256986618042","1.280256986618042"
"2099","251","251","251","1.2801103591918945","1.2801103591918945","1.2801103591918945"
"2149","257","257","257","1.280494213104248","1.280494213104248","1.280494213104248"
"2199","263","263","263","1.280419111251831","1.280419111251831","1.280419111251831"
"2249","269","269","269","1.2788934707641602","1.2788934707641602","1.2788934707641602"
"2299","275","275","275","1.2785401344299316","1.2785401344299316","1.2785401344299316"
"2349","281","281","281","1.2788108587265015","1.2788108587265015","1.2788108587265015"
"2399","287","287","287","1.2779349088668823","1.2779349088668823","1.2779349088668823"
"2449","293","293","293","1.2775403261184692","1.2775403261184692","1.2775403261184692"
"2499","299","299","299","1.278113603591919","1.278113603591919","1.278113603591919"
"2549","305","305","305","1.277338981628418","1.277338981628418","1.277338981628418"
"2599","311","311","311","1.2770828008651733","1.2770828008651733","1.2770828008651733"
"2649","317","317","317","1.2768378257751465","1.2768378257751465","1.2768378257751465"
"2699","323","323","323","1.276087999343872","1.276087999343872","1.276087999343872"
"2749","329","329","329","1.276094913482666","1.276094913482666","1.276094913482666"
"2799","335","335","335","1.275808334350586","1.275808334350586","1.275808334350586"
"2849","341","341","341","1.276170253753662","1.276170253753662","1.276170253753662"
"2899","347","347","347","1.2755227088928223","1.2755227088928223","1.2755227088928223"
"2949","353","353","353","1.2757614850997925","1.2757614850997925","1.2757614850997925"
"2999","359","359","359","1.2747628688812256","1.2747628688812256","1.2747628688812256"
"3049","365","365","365","1.2747310400009155","1.2747310400009155","1.2747310400009155"
"3099","371","371","371","1.2743679285049438","1.2743679285049438","1.2743679285049438"
"3149","377","377","377","1.2742927074432373","1.2742927074432373","1.2742927074432373"
"3199","383","383","383","1.2745952606201172","1.2745952606201172","1.2745952606201172"
"3249","389","389","389","1.2744128704071045","1.2744128704071045","1.2744128704071045"
"3299","395","395","395","1.2736473083496094","1.2736473083496094","1.2736473083496094"
"3349","401","401","401","1.274728536605835","1.274728536605835","1.274728536605835"
"3399","407","407","407","1.2738561630249023","1.2738561630249023","1.2738561630249023"
"3449","413","413","413","1.2737010717391968","1.2737010717391968","1.2737010717391968"
"3499","419","419","419","1.2731842994689941","1.2731842994689941","1.2731842994689941"
"3549","425","425","425","1.2731654644012451","1.2731654644012451","1.2731654644012451"
"3599","431","431","431","1.2733057737350464","1.2733057737350464","1.2733057737350464"
"3649","437","437","437","1.272987723350525","1.272987723350525","1.272987723350525"
"3699","443","443","443","1.2728893756866455","1.2728893756866455","1.2728893756866455"
"3749","449","449","449","1.2723662853240967","1.2723662853240967","1.2723662853240967"
"3799","455","455","455","1.2715725898742676","1.2715725898742676","1.2715725898742676"
"3849","461","461","461","1.271207332611084","1.271207332611084","1.271207332611084"
"3899","467","467","467","1.2709081172943115","1.2709081172943115","1.2709081172943115"
"3949","473","473","473","1.2711012363433838","1.2711012363433838","1.2711012363433838"
"3999","479","479","479","1.270998477935791","1.270998477935791","1.270998477935791"
