"trainer/global_step","wandering-galaxy-59 - _step","wandering-galaxy-59 - _step__MIN","wandering-galaxy-59 - _step__MAX","wandering-galaxy-59 - val_entropy_loss","wandering-galaxy-59 - val_entropy_loss__MIN","wandering-galaxy-59 - val_entropy_loss__MAX"
"49","5","5","5","2.836859941482544","2.836859941482544","2.836859941482544"
"99","11","11","11","1.5046395063400269","1.5046395063400269","1.5046395063400269"
"149","17","17","17","1.3969063758850098","1.3969063758850098","1.3969063758850098"
"199","23","23","23","1.3663866519927979","1.3663866519927979","1.3663866519927979"
"249","29","29","29","1.348710536956787","1.348710536956787","1.348710536956787"
"299","35","35","35","1.3394559621810913","1.3394559621810913","1.3394559621810913"
"349","41","41","41","1.3333594799041748","1.3333594799041748","1.3333594799041748"
"399","47","47","47","1.3307963609695435","1.3307963609695435","1.3307963609695435"
"449","53","53","53","1.3260583877563477","1.3260583877563477","1.3260583877563477"
"499","59","59","59","1.3214495182037354","1.3214495182037354","1.3214495182037354"
"549","65","65","65","1.3171677589416504","1.3171677589416504","1.3171677589416504"
"599","71","71","71","1.3143233060836792","1.3143233060836792","1.3143233060836792"
"649","77","77","77","1.3114745616912842","1.3114745616912842","1.3114745616912842"
"699","83","83","83","1.3098007440567017","1.3098007440567017","1.3098007440567017"
"749","89","89","89","1.3079829216003418","1.3079829216003418","1.3079829216003418"
"799","95","95","95","1.3067198991775513","1.3067198991775513","1.3067198991775513"
"849","101","101","101","1.3061703443527222","1.3061703443527222","1.3061703443527222"
"899","107","107","107","1.304990530014038","1.304990530014038","1.304990530014038"
"949","113","113","113","1.3036234378814697","1.3036234378814697","1.3036234378814697"
"999","119","119","119","1.3019636869430542","1.3019636869430542","1.3019636869430542"
"1049","125","125","125","1.3008017539978027","1.3008017539978027","1.3008017539978027"
"1099","131","131","131","1.3004209995269775","1.3004209995269775","1.3004209995269775"
"1149","137","137","137","1.2982118129730225","1.2982118129730225","1.2982118129730225"
"1199","143","143","143","1.297933578491211","1.297933578491211","1.297933578491211"
"1249","149","149","149","1.2967702150344849","1.2967702150344849","1.2967702150344849"
"1299","155","155","155","1.2955260276794434","1.2955260276794434","1.2955260276794434"
"1349","161","161","161","1.2942211627960205","1.2942211627960205","1.2942211627960205"
"1399","167","167","167","1.292880892753601","1.292880892753601","1.292880892753601"
"1449","173","173","173","1.2926764488220215","1.2926764488220215","1.2926764488220215"
"1499","179","179","179","1.291670560836792","1.291670560836792","1.291670560836792"
"1549","185","185","185","1.2906455993652344","1.2906455993652344","1.2906455993652344"
"1599","191","191","191","1.2908096313476562","1.2908096313476562","1.2908096313476562"
"1649","197","197","197","1.2887282371520996","1.2887282371520996","1.2887282371520996"
"1699","203","203","203","1.288706660270691","1.288706660270691","1.288706660270691"
"1749","209","209","209","1.287880301475525","1.287880301475525","1.287880301475525"
"1799","215","215","215","1.2876250743865967","1.2876250743865967","1.2876250743865967"
"1849","221","221","221","1.287097692489624","1.287097692489624","1.287097692489624"
"1899","227","227","227","1.2863502502441406","1.2863502502441406","1.2863502502441406"
"1949","233","233","233","1.2860898971557617","1.2860898971557617","1.2860898971557617"
"1999","239","239","239","1.2849955558776855","1.2849955558776855","1.2849955558776855"
"2049","245","245","245","1.2847270965576172","1.2847270965576172","1.2847270965576172"
"2099","251","251","251","1.284008502960205","1.284008502960205","1.284008502960205"
"2149","257","257","257","1.2849266529083252","1.2849266529083252","1.2849266529083252"
"2199","263","263","263","1.284726858139038","1.284726858139038","1.284726858139038"
"2249","269","269","269","1.2831372022628784","1.2831372022628784","1.2831372022628784"
"2299","275","275","275","1.2829396724700928","1.2829396724700928","1.2829396724700928"
"2349","281","281","281","1.2827179431915283","1.2827179431915283","1.2827179431915283"
"2399","287","287","287","1.2821390628814697","1.2821390628814697","1.2821390628814697"
"2449","293","293","293","1.2817652225494385","1.2817652225494385","1.2817652225494385"
"2499","299","299","299","1.2816343307495117","1.2816343307495117","1.2816343307495117"
"2549","305","305","305","1.2811975479125977","1.2811975479125977","1.2811975479125977"
"2599","311","311","311","1.2811806201934814","1.2811806201934814","1.2811806201934814"
"2649","317","317","317","1.2802927494049072","1.2802927494049072","1.2802927494049072"
"2699","323","323","323","1.2798240184783936","1.2798240184783936","1.2798240184783936"
"2749","329","329","329","1.2798949480056763","1.2798949480056763","1.2798949480056763"
"2799","335","335","335","1.2795987129211426","1.2795987129211426","1.2795987129211426"
"2849","341","341","341","1.2799570560455322","1.2799570560455322","1.2799570560455322"
"2899","347","347","347","1.2792946100234985","1.2792946100234985","1.2792946100234985"
"2949","353","353","353","1.2789766788482666","1.2789766788482666","1.2789766788482666"
"2999","359","359","359","1.2784147262573242","1.2784147262573242","1.2784147262573242"
"3049","365","365","365","1.2783437967300415","1.2783437967300415","1.2783437967300415"
"3099","371","371","371","1.277565836906433","1.277565836906433","1.277565836906433"
"3149","377","377","377","1.2778116464614868","1.2778116464614868","1.2778116464614868"
"3199","383","383","383","1.2783458232879639","1.2783458232879639","1.2783458232879639"
"3249","389","389","389","1.2777589559555054","1.2777589559555054","1.2777589559555054"
"3299","395","395","395","1.2769882678985596","1.2769882678985596","1.2769882678985596"
"3349","401","401","401","1.2778197526931763","1.2778197526931763","1.2778197526931763"
"3399","407","407","407","1.277369499206543","1.277369499206543","1.277369499206543"
"3449","413","413","413","1.2769622802734375","1.2769622802734375","1.2769622802734375"
"3499","419","419","419","1.2766404151916504","1.2766404151916504","1.2766404151916504"
"3549","425","425","425","1.2766482830047607","1.2766482830047607","1.2766482830047607"
"3599","431","431","431","1.276625394821167","1.276625394821167","1.276625394821167"
"3649","437","437","437","1.2765178680419922","1.2765178680419922","1.2765178680419922"
"3699","443","443","443","1.2762062549591064","1.2762062549591064","1.2762062549591064"
"3749","449","449","449","1.2760810852050781","1.2760810852050781","1.2760810852050781"
"3799","455","455","455","1.2754050493240356","1.2754050493240356","1.2754050493240356"
"3849","461","461","461","1.2749137878417969","1.2749137878417969","1.2749137878417969"
"3899","467","467","467","1.274930715560913","1.274930715560913","1.274930715560913"
"3949","473","473","473","1.2748663425445557","1.2748663425445557","1.2748663425445557"
"3999","479","479","479","1.2749660015106201","1.2749660015106201","1.2749660015106201"
"4049","485","485","485","1.2746565341949463","1.2746565341949463","1.2746565341949463"
"4099","491","491","491","1.2753486633300781","1.2753486633300781","1.2753486633300781"
"4149","497","497","497","1.2744405269622803","1.2744405269622803","1.2744405269622803"
"4199","503","503","503","1.2740541696548462","1.2740541696548462","1.2740541696548462"
"4249","509","509","509","1.2740919589996338","1.2740919589996338","1.2740919589996338"
"4299","515","515","515","1.2737597227096558","1.2737597227096558","1.2737597227096558"
"4349","521","521","521","1.2738713026046753","1.2738713026046753","1.2738713026046753"
"4399","527","527","527","1.2739752531051636","1.2739752531051636","1.2739752531051636"
"4449","533","533","533","1.273022174835205","1.273022174835205","1.273022174835205"
"4499","539","539","539","1.2729885578155518","1.2729885578155518","1.2729885578155518"
"4549","545","545","545","1.2730302810668945","1.2730302810668945","1.2730302810668945"
"4599","551","551","551","1.27352774143219","1.27352774143219","1.27352774143219"
"4649","557","557","557","1.2723639011383057","1.2723639011383057","1.2723639011383057"
"4699","563","563","563","1.272221565246582","1.272221565246582","1.272221565246582"
"4749","569","569","569","1.273059606552124","1.273059606552124","1.273059606552124"
"4799","575","575","575","1.2722108364105225","1.2722108364105225","1.2722108364105225"
"4849","581","581","581","1.271759271621704","1.271759271621704","1.271759271621704"
"4899","587","587","587","1.272317886352539","1.272317886352539","1.272317886352539"
"4949","593","593","593","1.2718772888183594","1.2718772888183594","1.2718772888183594"
"4999","599","599","599","1.271552562713623","1.271552562713623","1.271552562713623"
"5049","605","605","605","1.2711176872253418","1.2711176872253418","1.2711176872253418"
"5099","611","611","611","1.27138090133667","1.27138090133667","1.27138090133667"
"5149","617","617","617","1.2707446813583374","1.2707446813583374","1.2707446813583374"
"5199","623","623","623","1.270952820777893","1.270952820777893","1.270952820777893"
"5249","629","629","629","1.2704150676727295","1.2704150676727295","1.2704150676727295"
"5299","635","635","635","1.2706825733184814","1.2706825733184814","1.2706825733184814"
"5349","641","641","641","1.2706859111785889","1.2706859111785889","1.2706859111785889"
"5399","647","647","647","1.2702561616897583","1.2702561616897583","1.2702561616897583"
"5449","653","653","653","1.2706294059753418","1.2706294059753418","1.2706294059753418"
"5499","659","659","659","1.2699344158172607","1.2699344158172607","1.2699344158172607"
"5549","665","665","665","1.26979398727417","1.26979398727417","1.26979398727417"
"5599","671","671","671","1.2698824405670166","1.2698824405670166","1.2698824405670166"
"5649","677","677","677","1.2698850631713867","1.2698850631713867","1.2698850631713867"
"5699","683","683","683","1.2691199779510498","1.2691199779510498","1.2691199779510498"
"5749","689","689","689","1.2691361904144287","1.2691361904144287","1.2691361904144287"
"5799","695","695","695","1.268949270248413","1.268949270248413","1.268949270248413"
"5849","701","701","701","1.268813967704773","1.268813967704773","1.268813967704773"
"5899","707","707","707","1.2687151432037354","1.2687151432037354","1.2687151432037354"
"5949","713","713","713","1.2686866521835327","1.2686866521835327","1.2686866521835327"
"5999","719","719","719","1.2681593894958496","1.2681593894958496","1.2681593894958496"
"6049","725","725","725","1.268869161605835","1.268869161605835","1.268869161605835"
"6099","731","731","731","1.2682437896728516","1.2682437896728516","1.2682437896728516"
"6149","737","737","737","1.2681291103363037","1.2681291103363037","1.2681291103363037"
"6199","743","743","743","1.2681629657745361","1.2681629657745361","1.2681629657745361"
"6249","749","749","749","1.2680397033691406","1.2680397033691406","1.2680397033691406"
"6299","755","755","755","1.267971158027649","1.267971158027649","1.267971158027649"
"6349","761","761","761","1.2678005695343018","1.2678005695343018","1.2678005695343018"
"6399","767","767","767","1.2678015232086182","1.2678015232086182","1.2678015232086182"
"6449","773","773","773","1.26729416847229","1.26729416847229","1.26729416847229"
"6499","779","779","779","1.2671310901641846","1.2671310901641846","1.2671310901641846"
"6549","785","785","785","1.2674490213394165","1.2674490213394165","1.2674490213394165"
"6599","791","791","791","1.2675459384918213","1.2675459384918213","1.2675459384918213"
"6649","797","797","797","1.2669744491577148","1.2669744491577148","1.2669744491577148"
"6699","803","803","803","1.2669262886047363","1.2669262886047363","1.2669262886047363"
